"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"41940749","","NEW","2016-02-09T02:26:25","U","FC","","N","N","OFF","2017-02-10","2018-02-10"," ACT/365.FIXED","AUD","IR","","InterestRate:Option:Swaption","Trade","AUD-BBR-BBSW","FIXED","Percent","2.4","","","AUD","AUD","15,000,000","15,000,000","3M","3M","3M","","","2.4","PF","EU","AUD","12,150","","2017-02-09","","","",""
"41940750","","NEW","2016-02-09T01:50:17","C","","","N","N","OFF","2016-03-16","2018-03-14"," ACT/365.FIXED","NZD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","NZD-BBR-FRA","Percent","3","NZD","172,000","NZD","NZD","21,000,000","21,000,000","6M","3M","","3M","","","","","","","","","","","",""
"41940756","","NEW","2016-02-09T01:41:34","U","FC","","N","N","OFF","2016-10-24","2017-10-24"," ACT/360","USD","IR","","InterestRate:CrossCurrency:Basis","Termination","USD-LIBOR-BBA","JPY-LIBOR-BBA","","","USD","179,344.2203","USD","JPY","87,000,000","9,943,515,039","3M","3M","3M","3M","","","","","","","","","Percent","-0.695","",""
"41940757","","NEW","2016-02-09T02:16:00","U","PC","","Y","N","OFF","2016-02-15","2022-02-15"," ACT/ACT.ICMA","EUR","IR","","InterestRate:Exotic","Trade","","","Percentage","0.01","","","EUR","JPY","70,000,000","9,032,800,000","12M","12M","","","","","","","","","","","","","",""
"41940760","","NEW","2016-02-09T01:50:52","C","","","N","N","OFF","2016-03-10","2026-03-12"," ACT/365.FIXED","AUD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","AUD-BBR-BBSW","Percent","3","AUD","224,500","AUD","AUD","6,000,000","6,000,000","6M","6M","","6M","","","","","","","","","","","",""
"41940098","","NEW","2016-02-09T01:00:19","C","","","N","N","ON","2016-02-12","2023-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.02625","","","JPY","JPY","3,000,000,000","3,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940099","","NEW","2016-02-09T00:46:47","C","","","N","N","OFF","2016-02-12","2026-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.16375","","","JPY","JPY","2,000,000,000","2,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940100","","NEW","2016-02-09T01:01:54","U","UC","","N","N","ON","2016-03-15","2036-03-15"," 1/1","AUD","IR","","InterestRate:IRSwap:Inflation","Trade","AUD-CPI","FIXED","Percent","2.565","","","AUD","AUD","10,000,000","10,000,000","1T","1T","","","","","","","","","","","","","",""
"41940763","","NEW","2016-02-09T02:29:30","C","","","N","N","ON","2016-02-11","2021-02-11"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.11658","","","USD","USD","50,000,000","50,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41940768","","NEW","2016-02-09T01:34:33","U","PC","","N","N","OFF","2016-02-11","2021-02-11"," ACT/365.FIXED","THB","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","THB-THBFIX-Reuters","Percent","1.88","","","THB","THB","750,000,000","750,000,000","6M","6M","","6M","","","","","","","","","","","",""
"41940769","","NEW","2016-02-09T02:30:30","C","","","N","N","ON","2016-02-11","2021-02-11"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.11175","","","USD","USD","50,000,000","50,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41940135","","NEW","2016-02-09T01:05:07","C","","","N","N","ON","2016-02-12","2023-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.025","","","JPY","JPY","1,000,000,000","1,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940136","","NEW","2016-02-09T01:06:19","C","","","N","N","OFF","2016-02-12","2031-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.50625","","","JPY","JPY","3,000,000,000","3,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940201","","NEW","2016-02-09T01:12:06","C","","","N","N","ON","2016-02-11","2021-02-11"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.11729","","","USD","USD","50,000,000","50,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41940205","","NEW","2016-02-09T00:12:04","U","UC","","N","N","OFF","2019-06-05","2024-06-05"," ACT/365.FIXED","JPY","IR","","InterestRate:Option:Swaption","Amendment","JPY-LIBOR-BBA","FIXED","Percent","1.2","","","JPY","JPY","140,000,000","140,000,000","6M","6M","6M","","","1.2","PF","EU","JPY","1,554,000","","2019-06-03","","","",""
"41940210","","NEW","2016-02-09T01:12:41","C","","","N","N","ON","2016-02-12","2023-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.025","","","JPY","JPY","1,000,000,000","1,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940820","41903646","CANCEL","2016-02-08T01:14:29","C","","","N","N","","2016-02-10","2019-02-10"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.17","","","JPY","JPY","5,000,000,000","5,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940821","41905567","CANCEL","2016-02-08T05:57:35","C","","","N","N","","2016-02-10","2019-02-10"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.185","","","JPY","JPY","5,000,000,000","5,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940822","41905571","CANCEL","2016-02-08T05:58:00","C","","","N","N","","2016-02-10","2019-02-10"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.1825","","","JPY","JPY","10,000,000,000","10,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41939740","","NEW","2016-02-08T19:00:10","C","","","N","Y","OFF","2015-09-30","2021-10-31"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","2.014","USD","3,133,147.41036","USD","USD","170,000,000+","170,000,000+","6M","3M","","3M","","","","","","","","","","","",""
"41939741","","NEW","2016-02-08T19:00:13","C","","","N","Y","OFF","2015-12-17","2022-11-30"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.899","","","USD","USD","170,000,000+","170,000,000+","3M","6M","3M","","","","","","","","","","","","",""
"41939743","41931006","CANCEL","2016-02-08T19:00:10","C","","","N","Y","","2016-03-31","2022-11-30"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.407","","","USD","USD","170,000,000","170,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41939744","41931007","CANCEL","2016-02-08T19:00:13","C","","","N","Y","","2016-03-31","2021-10-31"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","1.27","","","USD","USD","170,000,000","170,000,000","6M","3M","","3M","","","","","","","","","","","",""
"41939760","","NEW","2016-02-08T23:34:16","C","","","N","N","OFF","2008-10-07","2021-11-15","","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","","","","","","USD","USD","14,000,000","11,448,866","1T","1T","3M","","","","","","","","","","","","",""
"41939761","","NEW","2016-02-08T23:41:20","C","","","N","N","OFF","2008-10-07","2021-11-15","","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","","","","","","USD","USD","12,000,000","9,814,335","1T","1T","3M","","","","","","","","","","","","",""
"41939774","","NEW","2016-02-09T00:14:31","U","UC","","N","N","ON","2016-02-19","2026-02-19"," ACT/365.FIXED","AUD","IR","","InterestRate:CrossCurrency:Basis","Trade","AUD-BBR-BBSW","USD-LIBOR-BBA","Percent","0.1275","","","AUD","USD","10,000,000","10,000,000","3M","3M","3M","3M","","","","","","","","","","","",""
"41939776","","NEW","2016-02-09T00:12:18","C","","","N","N","OFF","2014-01-06","2021-11-15"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","0","USD","961,394.61413","USD","USD","4,000,000","4,000,000","1T","6M","3M","","","","","","","","","","","","",""
"41940231","","NEW","2016-02-09T01:13:54","C","","","N","N","ON","2016-02-12","2036-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.79","","","JPY","JPY","1,000,000,000","1,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940232","","NEW","2016-02-08T21:55:35","U","PC","","N","N","OFF","2016-02-09","2017-05-08","","USD","IR","","InterestRate:Exotic","Trade","USD-LIBOR-BBA","","Price","0","","","USD","USD","30,000,000","30,000,000","","","","","","","","","","","","","","","",""
"41940245","","NEW","2016-02-09T01:16:48","C","","","N","N","OFF","2016-02-12","2036-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.79","","","JPY","JPY","2,000,000,000","2,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940252","41940136","CANCEL","2016-02-09T01:06:19","C","","","N","N","OFF","2016-02-12","2031-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.50625","","","JPY","JPY","3,000,000,000","3,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940253","41940136","CORRECT","2016-02-09T01:06:19","C","","","N","N","OFF","2016-02-12","2031-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.50625","","","JPY","JPY","3,000,000,000","3,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940846","","NEW","2016-02-09T02:29:34","C","","N","N","N","OFF","2015-12-16","2017-12-16"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","JPY-LIBOR-BBA","Percent","0.15","JPY","2,750,000","JPY","JPY","500,000,000","500,000,000","6M","6M","","6M","","","","","","","","","Percent","0","",""
"41940849","","NEW","2016-02-04T09:08:36","C","","","N","N","OFF","2022-02-07","2025-02-07"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.5325","","","JPY","JPY","650,000,000","650,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940850","41703357","CANCEL","2016-02-03T09:06:32","U","UC","","N","N","","2020-02-05","2022-02-05"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","JPY-LIBOR-BBA","Percent","0.22","","","JPY","JPY","29,000,000,000","29,000,000,000","6M","6M","","6M","","","","","","","","","","","",""
"41940851","","NEW","2016-02-04T09:06:32","C","","","N","N","OFF","2020-02-05","2022-02-05"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","JPY-LIBOR-BBA","Percent","0.22","","","JPY","JPY","1,000,000,000","1,000,000,000","6M","6M","","6M","","","","","","","","","","","",""
"41940852","41703530","CANCEL","2016-02-03T09:08:36","U","UC","","N","N","","2022-02-07","2025-02-07"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","0.5325","","","JPY","JPY","19,000,000,000","19,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940859","","NEW","2016-02-09T02:36:29","C","","","N","N","ON","2018-01-10","2020-01-10"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.1883","","","USD","USD","20,000,000","20,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41940862","","NEW","2016-02-09T02:37:34","C","","","N","N","ON","2018-01-10","2020-01-10"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.1838","","","USD","USD","10,000,000","10,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41939811","","NEW","2016-02-09T00:19:53","C","","","N","N","ON","2016-02-12","2017-08-12"," ACT/360","JPY","IR","","InterestRate:IRSwap:Basis","Trade","JPY-LIBOR-BBA","JPY-LIBOR-BBA","Percent","0.0275","","","JPY","JPY","25,000,000,000","25,000,000,000","3M","6M","3M","6M","","","","","","","","","","","",""
"41939814","","NEW","2016-02-09T00:18:52","C","","","N","N","OFF","2016-03-16","2017-03-16"," ACT/365.FIXED","NZD","IR","","InterestRate:IRSwap:FixedFloat","Trade","NZD-BBR-FRA","FIXED","Percent","2.565","","","NZD","NZD","240,000,000","240,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41939817","","NEW","2016-02-09T00:18:11","C","","","N","N","OFF","2016-03-16","2046-03-21"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","1.014","","","JPY","JPY","1,000,000,000","1,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41939555","","NEW","2016-02-08T23:56:53","U","UC","","N","Y","OFF","2016-03-10","2016-04-28"," ACT/365.FIXED","NZD","IR","","InterestRate:IRSwap:OIS","Trade","NZD-NZIONA-OIS-COMPOUND","FIXED","Percent","2.46","","","NZD","NZD","900,000,000+","900,000,000+","1T","1T","1T","","","","","","","","","","","","",""
"41940265","","NEW","2016-02-09T01:13:48","C","","","N","N","OFF","2016-03-22","2023-03-20"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.0202","","","JPY","JPY","8,000,000,000","8,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940272","","NEW","2016-02-09T01:15:05","C","","","N","N","OFF","2016-02-12","2022-02-12"," ACT/360","JPY","IR","","InterestRate:IRSwap:Basis","Trade","JPY-LIBOR-BBA","JPY-LIBOR-BBA","Percent","0.015","","","JPY","JPY","7,000,000,000","7,000,000,000","3M","6M","3M","6M","","","","","","","","","","","",""
"41940275","","NEW","2016-02-09T01:19:35","C","","","N","N","OFF","2016-02-12","2023-02-12"," ACT/360","JPY","IR","","InterestRate:IRSwap:Basis","Trade","JPY-LIBOR-BBA","JPY-LIBOR-BBA","Percent","0.0125","","","JPY","JPY","6,000,000,000","6,000,000,000","3M","6M","3M","6M","","","","","","","","","","","",""
"41940280","","NEW","2016-02-09T01:26:25","C","","","N","N","ON","2016-02-11","2019-02-11"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","0.85625","","","USD","USD","100,000,000","100,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41940284","","NEW","2016-02-08T22:44:25","U","PC","","N","N","OFF","2016-02-08","2017-05-08","","USD","IR","","InterestRate:Exotic","Trade","USD-LIBOR-BBA","","Price","0","","","USD","USD","11,000,000","11,000,000","","","","","","","","","","","","","","","",""
"41940287","","NEW","2016-02-09T00:59:20","U","UC","","N","N","ON","2016-02-19","2021-02-19"," ACT/365.FIXED","AUD","IR","","InterestRate:CrossCurrency:Basis","Trade","AUD-BBR-BBSW","USD-LIBOR-BBA","Percent","0.18625","","","AUD","USD","100,000,000","100,000,000","3M","3M","3M","3M","","","","","","","","","","","",""
"41940290","","NEW","2016-02-09T01:28:24","C","","","N","N","ON","2016-02-11","2022-02-11"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.2457","","","USD","USD","55,000,000","55,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41939754","","NEW","2016-02-08T23:58:27","C","","","N","Y","OFF","2016-02-11","2026-02-11"," ACT/365.FIXED","NZD","IR","","InterestRate:IRSwap:FixedFloat","Trade","NZD-BBR-FRA","FIXED","Percent","3.2375","","","NZD","NZD","140,000,000","140,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41939772","","NEW","2016-02-09T00:01:52","U","PC","","N","Y","OFF","2016-12-05","2021-12-05"," 30/360","USD","IR","","InterestRate:Option:Swaption","Trade","FIXED","USD-LIBOR-BBA","Percent","2.17","","","USD","USD","240,000,000+","240,000,000+","6M","3M","","3M","","2.17","PF","EU","USD","2,460,000","","2016-12-01","","","",""
"41939773","","NEW","2016-02-09T00:01:55","U","PC","","N","Y","OFF","2016-12-05","2021-12-05"," 30/360","USD","IR","","InterestRate:Option:Swaption","Trade","FIXED","USD-LIBOR-BBA","Percent","1.67","","","USD","USD","240,000,000+","240,000,000+","6M","3M","","3M","","1.67","RF","EU","USD","2,460,000","","2016-12-01","","","",""
"41939833","","NEW","2016-02-09T00:30:12","C","","","N","N","ON","2016-02-12","2018-02-12"," ACT/360","JPY","IR","","InterestRate:IRSwap:Basis","Trade","JPY-LIBOR-BBA","JPY-LIBOR-BBA","Percent","0.02625","","","JPY","JPY","20,000,000,000","20,000,000,000","3M","6M","3M","6M","","","","","","","","","","","",""
"41939834","","NEW","2016-02-09T00:14:37","C","","","N","N","OFF","2016-02-10","2026-02-10"," ACT/365.FIXED","AUD","IR","","InterestRate:IRSwap:FixedFloat","Trade","AUD-BBR-BBSW","FIXED","Percent","2.62","","","AUD","AUD","50,000,000","50,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41939844","","NEW","2016-02-09T00:33:22","C","","","N","N","ON","2016-02-12","2023-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.02375","","","JPY","JPY","2,000,000,000","2,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41939847","","NEW","2016-02-09T00:33:10","U","UC","","N","N","ON","2016-02-12","2016-05-12"," ACT/360","JPY","IR","","InterestRate:CrossCurrency:Basis","Trade","JPY-LIBOR-BBA","USD-LIBOR-BBA","Percent","-0.565","","","JPY","USD","10,052,850,000","87,000,000","3M","3M","3M","3M","","","","","","","","","","","",""
"41940306","","NEW","2016-02-08T22:44:34","U","PC","","N","N","OFF","2016-02-08","2017-05-08","","USD","IR","","InterestRate:Exotic","Trade","USD-LIBOR-BBA","","Price","0","","","USD","USD","27,000,000","27,000,000","","","","","","","","","","","","","","","",""
"41940314","","NEW","2016-02-09T01:31:43","C","","","N","N","ON","2016-02-12","2018-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.1675","","","JPY","JPY","25,000,000,000","25,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940318","","NEW","2016-02-09T01:32:36","C","","","N","N","ON","2016-02-12","2023-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.0375","","","JPY","JPY","3,000,000,000","3,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
"41940124","","NEW","2016-02-09T01:05:26","C","","","N","Y","OFF","2016-03-22","2023-03-20"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.0172","","","JPY","JPY","20,000,000,000+","20,000,000,000+","6M","6M","6M","","","","","","","","","","","","",""
"41940330","","NEW","2016-02-08T21:55:35","U","PC","","N","N","OFF","2016-02-09","2017-05-08","","USD","IR","","InterestRate:Exotic","Trade","USD-LIBOR-BBA","","Price","0","","","USD","USD","160,000,000","160,000,000","","","","","","","","","","","","","","","",""
"41941110","","NEW","2016-02-09T02:45:47","C","","","N","N","ON","2016-02-11","2026-02-11"," 30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","1.625","","","USD","USD","38,000,000","38,000,000","3M","6M","3M","","","","","","","","","","","","",""
"41941126","","NEW","2016-02-09T02:46:25","U","UC","","N","N","OFF","2016-02-11","2046-02-11"," ACT/365.FIXED","AUD","IR","","InterestRate:CrossCurrency:Basis","Trade","AUD-BBR-BBSW","USD-LIBOR-BBA","Percent","-0.41","","","AUD","USD","17,000,000","11,968,000","3M","3M","3M","3M","","","","","","","","","","","",""
"41939864","","NEW","2016-02-08T23:49:41","U","UC","","N","Y","OFF","2017-02-10","2018-02-10"," ACT/365.FIXED","AUD","IR","","InterestRate:Option:Swaption","Trade","AUD-BBR-BBSW","FIXED","Percent","1.495","","","AUD","AUD","350,000,000+","350,000,000+","3M","3M","3M","","","1.495","RF","EU","AUD","468,125","","2017-02-09","","","",""
"41939865","","NEW","2016-02-09T00:35:37","C","","","N","N","OFF","2016-02-12","2023-02-12"," ACT/365.FIXED","JPY","IR","","InterestRate:IRSwap:FixedFloat","Trade","JPY-LIBOR-BBA","FIXED","Percent","-0.02375","","","JPY","JPY","3,000,000,000","3,000,000,000","6M","6M","6M","","","","","","","","","","","","",""
